primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_SAINT_JOHN,Maya,Joseph,REGISTRATION_AGENT,+12685000013,mjoseph.sj,mjoseph.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Eldon,Richards,SOCIAL_WORKER,+12685000014,erichards.sj,erichards.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Grace,Samuel,LOCAL_LEADER,+12685000015,gsamuel.sj,gsamuel.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+12685000016,jcampbell.sj,jcampbell.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Edgar,Kazembe,PERFORMANCE_MANAGER,+12685000017,ekazembe.sj,ekazembe.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_JOHN,Joseph,Musonda,NATIONAL_REGISTRAR,+12685000018,jmusonda.sj,jmusonda.sj@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_MARY,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000019,athomas.sm,athomas.sm@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_MARY,Darius,Henry,LOCAL_REGISTRAR,+12685000020,dhenry.sm,dhenry.sm@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_MARY,Maya,Joseph,REGISTRATION_AGENT,+12685000021,mjoseph.sm,mjoseph.sm@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_MARY,Eldon,Richards,SOCIAL_WORKER,+12685000022,erichards.sm,erichards.sm@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_MARY,Grace,Samuel,LOCAL_LEADER,+12685000023,gsamuel.sm,gsamuel.sm@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PAUL,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000024,athomas.sp,athomas.sp@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PAUL,Darius,Henry,LOCAL_REGISTRAR,+12685000025,dhenry.sp,dhenry.sp@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PAUL,Maya,Joseph,REGISTRATION_AGENT,+12685000026,mjoseph.sp,mjoseph.sp@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PAUL,Eldon,Richards,SOCIAL_WORKER,+12685000027,erichards.sp,erichards.sp@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PAUL,Grace,Samuel,LOCAL_LEADER,+12685000028,gsamuel.sp,gsamuel.sp@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PETER,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000029,athomas.spr,athomas.spr@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PETER,Darius,Henry,LOCAL_REGISTRAR,+12685000030,dhenry.spr,dhenry.spr@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PETER,Maya,Joseph,REGISTRATION_AGENT,+12685000031,mjoseph.spr,mjoseph.spr@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PETER,Eldon,Richards,SOCIAL_WORKER,+12685000032,erichards.spr,erichards.spr@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PETER,Grace,Samuel,LOCAL_LEADER,+12685000033,gsamuel.spr,gsamuel.spr@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PHILIP,Anika,Thomas,LOCAL_SYSTEM_ADMIN,+12685000034,athomas.sph,athomas.sph@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PHILIP,Darius,Henry,LOCAL_REGISTRAR,+12685000035,dhenry.sph,dhenry.sph@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PHILIP,Maya,Joseph,REGISTRATION_AGENT,+12685000036,mjoseph.sph,mjoseph.sph@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PHILIP,Eldon,Richards,SOCIAL_WORKER,+12685000037,erichards.sph,erichards.sph@opencrvs-atg.test,test
CRVS_OFFICE_SAINT_PHILIP,Grace,Samuel,LOCAL_LEADER,+12685000038,gsamuel.sph,gsamuel.sph@opencrvs-atg.test,test
